date,daily_consumption,AWND,PRCP,TMAX,TMIN
2007-01-20,3133.732,5.1,0.3,0.0,-6.1
2007-01-21,3407.262,1.6,0.0,-1.7,-7.2
2007-01-22,2180.494,0.8,0.0,0.6,-2.8
2007-01-23,1777.64,2.8,0.0,2.2,-2.2
2007-01-24,2987.854,2.6,0.0,4.4,0.0
2007-01-25,1596.344,2.2,0.3,1.1,-9.4
2007-01-26,1617.972,1.0,0.0,-5.6,-12.8
2007-01-27,2044.072,1.7,0.3,5.0,-6.7
2007-01-28,3090.204,1.7,1.3,5.0,-1.1
2007-01-29,1982.664,3.9,0.3,-1.1,-6.1
2007-01-30,1707.798,2.2,2.5,1.7,-6.1
2007-01-31,2363.752,3.6,1.5,0.6,-3.9
2007-02-01,1824.76,2.4,0.0,1.1,-3.3
2007-02-02,1667.736,1.5,5.8,3.3,0.0
2007-02-03,4029.722,3.9,0.0,1.7,-5.0
2007-02-04,3595.94,4.5,0.0,-2.2,-8.3
2007-02-05,1645.28,5.0,0.0,-7.8,-13.3
2007-02-06,1273.48,4.0,0.0,-3.9,-11.7
2007-02-07,2328.018,3.4,0.0,-3.9,-11.1
2007-02-08,1801.414,3.8,0.0,-2.2,-10.0
2007-02-09,1620.198,4.8,0.0,0.0,-7.8
2007-02-10,2829.328,2.9,0.0,0.6,-5.0
2007-02-11,3571.228,2.6,0.0,0.6,-7.2
2007-02-12,1877.61,2.6,0.0,4.4,-2.2
2007-02-13,1414.546,3.6,0.8,0.0,-5.6
2007-02-14,2498.672,6.2,23.9,-1.7,-8.9
2007-02-15,1985.346,4.7,0.0,-4.4,-9.4
2007-02-16,1702.528,4.4,0.0,-1.7,-10.0
2007-02-17,2076.912,2.9,0.0,1.7,-7.2
2007-02-18,3829.762,3.4,0.0,1.1,-7.8
2007-02-19,2186.614,4.3,0.0,-1.1,-11.1
2007-02-20,3149.928,2.7,2.5,8.3,-1.7
2007-02-21,2072.874,1.3,0.3,9.4,3.9
2007-02-22,3369.478,2.4,5.3,7.2,2.2
2007-02-23,1313.48,5.2,0.0,3.9,-5.6
2007-02-24,714.922,4.3,0.0,5.6,-6.7
2007-02-25,501.74,1.8,4.8,2.8,-4.4
2007-02-26,568.484,2.5,7.1,2.2,-1.1
2007-02-27,518.112,0.9,0.0,6.1,1.1
2007-02-28,520.774,2.2,0.0,7.8,1.7
2007-03-01,517.564,2.0,3.6,7.8,0.6
2007-03-02,515.688,3.2,61.2,14.4,1.7
2007-03-03,819.122,2.1,0.0,15.0,4.4
2007-03-04,2090.7,3.9,0.0,4.4,0.6
2007-03-05,2660.332,4.5,0.0,5.0,-6.1
2007-03-06,1246.5,5.5,0.0,-6.1,-11.7
2007-03-07,2375.206,1.8,1.0,-5.0,-11.1
2007-03-08,1572.132,3.3,0.0,1.1,-7.8
2007-03-09,1272.612,2.0,0.0,1.7,-10.6
2007-03-10,2484.712,2.1,1.8,13.9,0.0
2007-03-11,3480.636,3.0,4.1,10.0,3.3
2007-03-12,1950.668,1.7,0.0,13.9,2.2
2007-03-13,1290.144,1.3,0.0,13.9,6.1
2007-03-14,1793.364,1.6,0.0,21.1,7.8
2007-03-15,1884.814,2.8,8.1,19.4,2.2
2007-03-16,1702.054,5.5,51.6,2.2,-3.3
2007-03-17,2028.09,3.9,0.8,3.3,-3.9
2007-03-18,2371.046,4.3,0.0,3.9,-2.8
2007-03-19,2152.518,2.9,0.0,6.1,-1.1
2007-03-20,2086.228,3.4,0.0,10.0,0.6
2007-03-21,2142.092,3.0,0.0,4.4,-3.3
2007-03-22,1454.978,2.9,0.5,19.4,4.4
2007-03-23,1309.008,1.6,2.3,16.1,10.6
2007-03-24,2968.43,2.6,0.8,12.2,5.6
2007-03-25,3336.124,2.6,0.0,12.2,3.3
2007-03-26,1416.082,2.6,0.0,12.2,3.9
2007-03-27,1105.14,2.4,0.3,25.6,10.0
2007-03-28,2333.898,2.6,0.0,18.3,7.2
2007-03-29,1590.406,2.7,0.0,13.9,3.3
2007-03-30,1402.394,1.7,0.0,20.0,3.9
2007-03-31,3509.51,2.2,0.0,15.6,6.1
2007-04-01,2785.952,2.4,1.5,10.0,5.6
2007-04-02,1960.778,1.9,1.5,13.3,5.6
2007-04-03,1642.82,2.1,0.0,17.2,5.6
2007-04-04,2051.868,3.2,21.6,5.6,4.4
2007-04-05,1844.078,4.1,0.0,6.7,1.1
2007-04-06,1601.14,2.4,0.0,5.6,-0.6
2007-04-07,1553.924,2.8,0.0,6.1,-0.6
2007-04-08,1608.816,3.7,0.0,5.0,-1.1
2007-04-09,1000.92,2.9,0.0,9.4,0.0
2007-04-10,777.364,2.7,0.0,10.6,0.6
2007-04-11,887.482,2.1,0.0,10.0,2.2
2007-04-12,537.706,3.6,35.1,6.7,3.9
2007-04-13,551.022,4.5,0.0,9.4,5.6
2007-04-14,554.268,2.5,0.0,13.3,4.4
2007-04-15,726.164,3.2,192.3,12.8,4.4
2007-04-16,952.39,3.3,22.9,8.9,3.3
2007-04-17,1223.734,4.2,1.0,10.6,5.6
2007-04-18,998.246,3.3,0.0,10.6,5.6
2007-04-19,1028.658,2.3,0.3,16.1,7.2
2007-04-20,822.58,2.4,0.0,21.7,6.7
2007-04-21,1673.656,1.0,0.0,26.1,7.2
2007-04-22,2233.714,1.4,0.0,25.6,12.8
2007-04-23,1054.566,2.8,0.0,30.0,14.4
2007-04-24,1032.1,2.7,0.0,24.4,14.4
2007-04-25,1264.162,3.1,3.6,19.4,8.3
2007-04-26,1275.466,2.1,0.0,16.1,7.8
2007-04-27,1094.332,1.4,51.8,13.3,8.3
2007-04-28,22.738,1.8,0.0,21.7,12.2
2007-04-30,420.822,3.3,0.0,26.7,11.1
2007-05-01,1663.858,1.6,8.1,21.7,10.6
2007-05-02,1003.486,1.7,2.5,20.0,10.0
2007-05-03,1090.238,1.3,0.0,22.2,10.6
2007-05-04,998.128,1.7,0.0,21.7,10.0
2007-05-05,1563.052,2.0,0.0,22.8,10.6
2007-05-06,2102.104,3.3,0.0,17.2,7.8
2007-05-07,1643.664,1.8,0.0,19.4,6.7
2007-05-08,1789.292,1.1,0.0,22.2,8.3
2007-05-09,1665.736,2.2,0.0,28.3,13.9
2007-05-10,707.884,2.0,0.0,25.0,16.1
2007-05-11,979.154,0.8,4.8,25.0,15.6
2007-05-12,1441.566,2.5,4.6,23.3,11.7
2007-05-13,1634.738,3.0,0.0,20.0,9.4
2007-05-14,1467.782,2.5,0.0,21.1,9.4
2007-05-15,904.392,3.3,0.0,28.9,13.3
2007-05-16,1692.944,2.6,21.1,29.4,15.0
2007-05-17,1231.816,2.0,0.0,20.6,12.2
2007-05-18,1631.53,3.2,0.0,12.2,8.9
2007-05-19,1429.442,1.7,5.3,13.9,10.0
2007-05-20,1968.328,2.9,0.5,23.9,10.6
2007-05-21,1120.062,1.8,0.0,21.7,11.7
2007-05-22,1132.852,1.8,0.0,24.4,11.7
2007-05-23,1464.936,1.6,0.0,23.3,12.8
2007-05-24,1154.388,2.8,0.0,28.9,14.4
2007-05-25,1614.22,2.0,0.0,32.2,17.8
2007-05-26,1512.248,1.8,0.0,29.4,21.7
2007-05-27,2153.808,1.5,0.8,30.0,18.9
2007-05-28,1637.468,1.8,0.0,28.3,19.4
2007-05-29,1061.34,1.3,0.0,26.7,16.1
2007-05-30,1609.866,0.8,0.0,28.9,16.1
2007-05-31,938.55,2.0,0.0,32.8,17.8
2007-06-01,1044.918,1.3,0.0,31.1,17.8
2007-06-02,1484.362,1.7,0.0,31.7,21.7
2007-06-03,2108.026,2.1,41.1,26.1,17.2
2007-06-04,911.618,2.4,58.2,21.1,15.6
2007-06-05,1458.892,2.7,0.0,27.2,18.9
2007-06-06,1693.638,2.2,0.0,21.7,13.3
2007-06-07,985.002,0.9,0.0,23.9,12.2
2007-06-08,2148.046,1.1,0.0,29.4,17.8
2007-06-09,1059.814,2.6,0.3,27.8,18.3
2007-06-10,1340.812,1.0,0.0,22.2,16.7
2007-06-11,794.654,1.9,0.8,28.9,17.2
2007-06-12,918.766,1.0,30.0,28.3,18.3
2007-06-13,927.272,3.1,0.0,18.9,13.9
2007-06-14,1259.084,2.4,0.0,17.8,13.3
2007-06-15,989.604,1.6,0.0,23.3,15.0
2007-06-16,2017.762,1.3,1.0,27.2,15.6
2007-06-17,1947.09,1.7,0.0,30.0,18.9
2007-06-18,678.474,1.8,0.0,28.9,20.0
2007-06-19,842.36,1.6,8.4,26.7,18.9
2007-06-20,1074.286,2.1,3.6,25.6,19.4
2007-06-21,806.946,2.1,4.6,26.7,15.6
2007-06-22,566.294,2.9,0.0,23.3,16.1
2007-06-23,477.566,2.0,0.0,23.3,13.3
2007-06-24,714.656,1.4,0.0,27.2,13.9
2007-06-25,1072.202,1.8,0.0,26.7,19.4
2007-06-26,944.908,2.0,0.0,32.8,22.2
2007-06-27,1480.826,1.7,17.5,32.2,21.1
2007-06-28,1295.438,2.3,0.8,30.6,21.1
2007-06-29,1304.198,1.2,0.0,25.0,19.4
2007-06-30,1335.314,1.3,0.3,27.2,17.2
2007-07-01,1026.664,2.3,0.0,23.3,16.1
2007-07-02,967.032,1.3,0.0,23.3,13.9
2007-07-03,1059.912,1.4,0.0,26.7,15.6
2007-07-04,1003.41,2.6,1.8,21.7,18.3
2007-07-05,1057.29,2.1,33.0,25.6,19.4
2007-07-06,1069.524,1.2,0.8,28.3,19.4
2007-07-07,1358.206,1.7,0.0,29.4,19.4
2007-07-08,1089.08,2.3,0.0,31.7,21.7
2007-07-09,1180.158,1.7,0.0,33.3,24.4
2007-07-10,908.324,1.6,0.0,33.3,23.3
2007-07-11,722.352,1.5,25.7,29.4,21.1
2007-07-12,1069.582,2.2,0.0,26.7,18.9
2007-07-13,794.382,1.7,0.0,27.2,20.6
2007-07-14,1288.17,1.3,0.0,28.9,18.9
2007-07-15,917.024,2.1,0.3,31.1,22.2
2007-07-16,853.674,1.6,0.0,27.8,21.7
2007-07-17,719.632,0.9,0.0,31.1,20.6
2007-07-18,757.082,1.4,40.4,25.6,20.6
2007-07-19,677.886,1.5,4.8,28.3,21.1
2007-07-20,1110.422,3.0,0.0,25.6,19.4
2007-07-21,1060.248,2.4,0.0,27.8,17.2
2007-07-22,1375.774,2.2,0.0,28.3,20.0
2007-07-23,991.018,3.5,58.7,22.2,15.6
2007-07-24,825.284,1.6,0.0,27.2,14.4
2007-07-25,472.56,0.9,0.0,28.3,19.4
2007-07-26,924.5,1.2,0.0,29.4,21.7
2007-07-27,1202.514,1.6,0.0,28.9,21.7
2007-07-28,1621.862,1.3,0.0,28.9,21.7
2007-07-29,321.116,0.9,9.7,26.7,22.2
2007-07-30,466.816,0.9,0.0,30.0,21.1
2007-07-31,812.332,1.1,0.0,30.6,22.2
2007-08-01,1060.338,1.2,0.0,32.2,21.7
2007-08-02,1019.416,1.3,0.0,33.3,23.9
2007-08-03,1063.364,2.0,29.2,32.2,18.9
2007-08-04,1144.99,1.3,0.3,31.7,20.6
2007-08-05,787.098,2.5,0.0,29.4,21.1
2007-08-06,1089.72,1.4,0.0,28.3,22.2
2007-08-07,1483.58,0.7,0.0,31.7,23.9
2007-08-08,1125.482,2.4,63.5,32.2,22.8
2007-08-09,1071.68,2.0,0.0,28.3,22.2
2007-08-10,1028.01,3.2,32.5,22.2,13.9
2007-08-11,1091.65,1.5,0.0,27.2,13.9
2007-08-12,1241.904,1.0,0.0,29.4,20.0
2007-08-13,1153.012,2.3,1.0,28.9,21.1
2007-08-14,941.19,1.3,0.0,27.2,18.3
2007-08-15,1191.86,2.3,0.0,28.9,19.4
2007-08-16,958.496,1.2,0.3,28.3,23.3
2007-08-17,1009.892,1.4,18.8,29.4,16.7
2007-08-18,347.96,2.6,0.0,23.3,15.0
2007-08-19,1422.294,0.5,3.0,21.7,15.6
2007-08-20,1338.842,3.1,1.5,20.6,14.4
2007-08-21,642.556,3.4,32.3,15.0,13.3
2007-08-22,1209.808,1.6,0.0,18.3,13.3
2007-08-23,1112.312,0.6,0.0,23.9,16.7
2007-08-24,1656.214,1.0,0.0,28.3,18.9
2007-08-25,1150.88,1.3,0.0,30.6,22.8
2007-08-26,1314.906,1.6,0.0,26.7,22.2
2007-08-27,1211.73,1.9,0.0,28.3,19.4
2007-08-28,997.004,0.6,0.0,28.3,20.0
2007-08-29,747.992,0.9,0.0,29.4,19.4
2007-08-30,1202.458,1.0,0.0,30.0,21.1
2007-08-31,1279.822,2.2,0.0,25.6,20.6
2007-09-01,1701.486,3.0,0.0,26.1,17.8
2007-09-02,1662.468,1.3,0.0,25.6,14.4
2007-09-03,1038.922,2.4,0.0,27.8,17.8
2007-09-04,1584.944,1.8,0.0,28.3,20.6
2007-09-05,1236.572,1.3,0.0,26.1,18.3
2007-09-06,901.474,1.3,0.0,26.7,19.4
2007-09-07,1336.496,2.2,0.0,30.0,21.1
2007-09-08,1469.752,2.3,0.0,31.1,21.7
2007-09-09,1679.502,2.0,0.0,29.4,21.7
2007-09-10,1117.376,1.4,3.3,26.1,22.8
2007-09-11,983.572,2.1,30.7,23.3,20.6
2007-09-12,1287.764,2.4,0.0,23.9,16.7
2007-09-13,1146.382,0.8,0.0,23.3,14.4
2007-09-14,1135.47,1.5,0.0,23.3,17.8
2007-09-15,1095.312,2.3,2.0,20.6,12.8
2007-09-16,1652.224,1.1,0.0,18.9,10.0
2007-09-17,1461.186,1.5,0.0,20.6,10.6
2007-09-18,1167.52,1.5,0.0,21.1,11.7
2007-09-19,1298.684,0.8,0.0,24.4,13.3
2007-09-20,1255.532,0.8,0.0,27.8,15.6
2007-09-21,1238.78,0.8,0.0,27.8,17.2
2007-09-22,1176.172,0.6,7.9,23.9,18.3
2007-09-23,1417.97,1.3,0.0,25.6,16.7
2007-09-24,1354.53,1.3,0.0,26.1,14.4
2007-09-25,1764.342,2.5,0.0,29.4,17.2
2007-09-26,1822.264,2.3,0.0,30.6,20.6
2007-09-27,1392.6,1.7,0.0,27.8,21.7
2007-09-28,1680.498,2.1,2.0,24.4,16.1
2007-09-29,2296.522,2.2,0.0,24.4,14.4
2007-09-30,1516.29,1.6,0.0,22.2,13.3
2007-10-01,1720.922,1.2,0.0,20.6,15.0
2007-10-02,2198.864,1.6,0.0,23.9,14.4
2007-10-03,1280.454,1.0,0.8,25.6,18.3
2007-10-04,1518.458,0.8,0.0,28.9,20.6
2007-10-05,1394.092,0.7,0.0,28.3,19.4
2007-10-06,1756.24,1.1,0.0,28.3,18.9
2007-10-07,2106.114,1.7,0.0,27.8,19.4
2007-10-08,1095.242,1.9,0.0,30.6,19.4
2007-10-09,1687.858,2.6,13.2,26.1,15.6
2007-10-10,1166.972,1.7,4.1,20.6,16.1
2007-10-11,1732.446,2.7,37.6,19.4,15.0
2007-10-12,1914.504,3.5,2.0,15.6,8.9
2007-10-13,1926.728,2.0,0.0,17.2,7.2
2007-10-14,2061.252,2.1,0.0,18.9,9.4
2007-10-15,1266.33,1.2,0.0,19.4,9.4
2007-10-16,1964.442,0.3,0.0,21.1,13.3
2007-10-17,1576.93,0.5,0.0,22.8,14.4
2007-10-18,1518.53,1.2,0.0,25.0,17.2
2007-10-19,2085.648,1.9,9.7,22.8,18.3
2007-10-20,1660.246,2.6,0.8,21.1,15.6
2007-10-21,1941.94,2.1,0.0,23.3,13.3
2007-10-22,1652.896,2.0,0.0,24.4,15.0
2007-10-23,1954.648,2.7,0.3,25.6,18.9
2007-10-24,1865.636,2.1,4.1,19.4,11.1
2007-10-25,1853.918,3.3,3.6,13.9,9.4
2007-10-26,1437.568,3.3,11.7,14.4,11.1
2007-10-27,1785.688,2.5,30.5,19.4,13.3
2007-10-28,512.158,3.0,0.0,13.3,6.1
2007-10-29,545.428,1.3,0.0,11.7,3.3
2007-10-30,811.008,1.3,0.0,16.7,7.8
2007-10-31,1283.21,2.0,0.0,17.8,9.4
2007-11-01,496.216,0.0,0.0,18.9,10.0
2007-11-02,1443.602,3.9,0.0,12.8,7.2
2007-11-03,492.55,4.2,0.0,10.6,7.2
2007-11-04,1485.686,1.8,0.0,13.3,7.2
2007-11-05,1500.592,1.9,0.0,13.9,6.7
2007-11-06,2082.378,2.9,13.2,13.3,6.1
2007-11-07,1844.758,2.3,0.0,9.4,3.9
2007-11-08,1501.06,0.6,0.0,7.8,1.7
2007-11-09,2171.226,1.5,10.4,6.7,3.9
2007-11-10,2611.6,2.4,3.3,7.8,2.8
2007-11-11,1887.124,1.6,0.0,7.8,-0.6
2007-11-12,2156.146,1.1,2.8,10.0,3.3
2007-11-13,2214.398,1.3,5.6,15.0,8.3
2007-11-14,2047.994,1.0,0.0,14.4,7.2
2007-11-15,1491.988,2.5,9.7,17.2,6.1
2007-11-16,2309.754,4.4,0.0,8.3,2.8
2007-11-17,2610.094,2.2,0.0,7.8,1.7
2007-11-18,2183.858,3.1,0.0,6.7,3.9
2007-11-19,1723.654,3.4,6.9,6.7,1.1
2007-11-20,2095.856,1.8,2.8,8.9,4.4
2007-11-21,1751.836,0.8,0.0,14.4,6.1
2007-11-22,1932.378,2.1,0.8,18.9,4.4
2007-11-23,2522.618,3.4,0.0,4.4,-1.1
2007-11-24,1899.054,1.7,0.0,3.9,-3.3
2007-11-25,1395.598,1.8,0.0,9.4,1.1
2007-11-26,1569.716,1.0,31.8,16.7,4.4
2007-11-27,2801.012,3.5,0.8,17.8,6.1
2007-11-28,1644.94,2.1,0.0,7.2,1.7
2007-11-29,1719.23,2.8,0.3,10.6,5.0
2007-11-30,2331.728,2.6,0.0,5.6,1.7
2007-12-01,3134.942,3.2,0.0,3.3,-3.9
2007-12-02,2946.188,1.4,8.4,2.2,-6.7
2007-12-03,1762.06,4.3,7.9,8.3,0.0
2007-12-04,2067.636,4.4,0.0,1.1,-2.2
2007-12-05,2153.12,1.9,0.5,0.6,-2.2
2007-12-06,2487.934,2.1,0.0,0.6,-6.1
2007-12-07,1769.016,1.6,0.0,1.7,-2.2
2007-12-08,2213.404,1.9,0.0,6.7,1.1
2007-12-09,2274.584,0.6,8.1,4.4,1.1
2007-12-10,1758.754,1.4,2.0,4.4,2.8
2007-12-11,2305.104,1.7,0.3,7.2,1.7
2007-12-12,1588.062,3.0,0.0,11.1,1.1
2007-12-13,1847.746,2.8,25.9,2.2,-1.7
2007-12-14,1974.808,1.4,0.0,5.6,-0.6
2007-12-15,2736.876,3.4,0.3,2.2,-1.7
2007-12-16,2762.218,5.7,21.3,3.3,-1.7
2007-12-17,1797.066,5.4,0.0,0.6,-3.3
2007-12-18,2623.194,2.3,0.0,2.8,-1.7
2007-12-19,2196.052,1.1,2.0,6.1,1.1
2007-12-20,1949.758,2.3,0.0,6.7,1.7
2007-12-21,1982.576,4.2,0.0,3.9,2.2
2007-12-22,2611.264,3.8,0.0,5.0,1.7
2007-12-23,2409.048,2.9,18.0,16.1,5.0
2007-12-24,2257.848,3.5,0.0,10.0,2.8
2007-12-25,2694.968,2.4,0.0,6.1,1.7
2007-12-26,2580.28,2.8,13.0,3.9,0.0
2007-12-27,2532.198,2.0,1.3,6.1,2.2
2007-12-28,3113.052,2.1,0.5,9.4,4.4
2007-12-29,3298.956,2.4,14.5,10.6,5.6
2007-12-30,2558.916,1.8,3.0,6.1,1.7
2007-12-31,2216.542,2.8,5.6,6.7,1.7
2008-01-01,2759.738,2.9,4.3,8.3,2.8
2008-01-02,1644.106,4.1,0.0,3.3,-8.3
2008-01-03,1510.108,2.9,0.0,-6.7,-11.1
2008-01-04,2291.852,2.5,0.0,2.2,-8.9
2008-01-05,2183.248,1.6,1.5,6.1,0.0
2008-01-06,1825.184,0.8,0.3,10.0,2.2
2008-01-07,1695.814,1.9,0.0,16.7,7.2
2008-01-08,2043.55,3.0,0.0,17.8,11.7
2008-01-09,1788.44,3.8,0.8,17.8,8.3
2008-01-10,1894.076,1.6,0.3,10.0,5.0
2008-01-11,1705.818,2.3,32.8,13.3,4.4
2008-01-12,2871.408,2.0,0.0,9.4,5.6
2008-01-13,2881.656,3.6,7.6,7.2,2.2
2008-01-14,2024.932,2.9,4.6,3.9,1.1
2008-01-15,2686.912,3.7,0.0,3.3,0.0
2008-01-16,2135.852,3.4,0.0,3.9,-1.7
2008-01-17,1572.282,2.6,6.4,3.9,-1.1
2008-01-18,2186.988,4.0,11.7,8.9,1.7
2008-01-19,1980.306,0.0,0.0,2.8,0.0
2008-01-20,1740.368,4.9,0.0,1.1,-8.3
2008-01-21,1858.998,3.6,0.0,-3.3,-9.4
2008-01-22,2325.018,3.1,0.0,3.9,-5.0
2008-01-23,1882.308,3.6,0.0,4.4,-1.1
2008-01-24,1645.022,2.3,0.0,1.1,-4.4
2008-01-25,2239.856,3.7,0.0,0.6,-6.1
2008-01-26,2834.988,1.7,0.0,1.1,-3.9
2008-01-27,2381.766,3.2,0.0,3.9,-1.1
2008-01-28,2308.196,3.0,0.0,5.6,-2.8
2008-01-29,2676.024,1.7,0.3,6.1,-1.1
2008-01-30,1640.646,4.6,2.0,9.4,0.0
2008-01-31,1953.922,3.1,0.0,3.3,-2.2
2008-02-01,1534.652,5.3,41.4,11.7,0.0
2008-02-02,2936.034,4.0,0.0,6.1,1.7
2008-02-03,2084.568,1.1,0.0,9.4,0.6
2008-02-04,1628.138,3.5,1.8,5.6,1.1
2008-02-05,2472.456,2.5,1.3,11.1,3.3
2008-02-06,1669.54,2.4,1.0,20.0,5.0
2008-02-07,1518.31,3.0,1.3,9.4,3.3
2008-02-08,1950.564,2.2,0.0,7.2,1.7
2008-02-09,2102.276,2.2,1.5,6.7,2.8
2008-02-10,2184.714,5.3,0.0,6.7,-9.4
2008-02-11,1692.016,5.7,0.0,-4.4,-12.2
2008-02-12,1987.798,2.2,14.0,-0.6,-8.3
2008-02-13,1900.498,2.7,49.3,12.2,-0.6
2008-02-14,1604.622,3.4,0.0,4.4,-2.2
2008-02-15,2005.208,3.6,0.0,8.3,-0.6
2008-02-16,2346.948,2.6,0.0,1.1,-5.0
2008-02-17,1933.368,3.5,5.8,11.7,-1.1
2008-02-18,1514.404,3.9,6.9,17.8,4.4
2008-02-19,2126.916,4.3,0.0,5.0,-2.2
2008-02-20,2253.79,3.3,0.0,0.0,-4.4
2008-02-21,1633.85,2.9,0.0,0.6,-6.7
2008-02-22,1732.564,2.7,17.8,1.1,-3.9
2008-02-23,1833.97,2.0,0.3,1.1,-2.2
2008-02-24,1263.008,2.2,0.0,3.9,-4.4
2008-02-25,504.488,2.4,0.0,8.9,0.0
2008-02-26,507.12,1.9,5.3,8.3,3.3
2008-02-27,566.72,4.7,0.0,6.7,-5.6
2008-02-28,509.184,4.8,0.0,-2.2,-7.8
2008-02-29,1333.348,3.2,3.6,1.7,-8.3
2008-03-01,1141.876,4.1,3.6,7.8,0.6
2008-03-02,1162.226,4.1,0.0,6.1,-2.2
2008-03-03,1040.55,2.7,0.0,12.8,2.2
2008-03-04,1668.99,3.0,4.8,17.2,7.2
2008-03-05,2037.208,4.7,7.6,13.9,2.8
2008-03-06,2503.208,2.5,0.0,9.4,1.1
2008-03-07,1862.956,3.5,30.7,7.2,2.2
2008-03-08,2248.66,3.6,19.1,13.9,2.2
2008-03-09,1560.458,5.4,0.0,5.6,-1.1
2008-03-10,1618.686,3.4,0.0,7.2,-2.8
2008-03-11,2200.042,2.4,0.0,9.4,1.7
2008-03-12,1774.232,4.1,0.0,8.3,1.7
2008-03-13,1675.514,2.4,0.0,7.2,-0.6
2008-03-14,2210.22,2.8,0.5,13.3,4.4
2008-03-15,1576.3,3.8,2.8,13.3,5.0
2008-03-16,1801.96,3.4,1.0,8.3,1.7
2008-03-17,1706.918,3.8,0.0,10.0,-1.1
2008-03-18,1917.566,3.4,0.0,6.7,1.7
2008-03-19,1308.448,2.7,24.1,11.7,5.0
2008-03-20,1253.274,5.5,5.6,14.4,2.2
2008-03-21,2066.442,5.6,0.0,7.2,0.6
2008-03-22,2053.516,3.2,0.0,10.0,1.1
2008-03-23,2325.99,2.6,0.0,8.9,-1.1
2008-03-24,1974.668,2.9,0.0,10.0,0.6
2008-03-25,2015.856,3.6,0.0,8.9,-0.6
2008-03-26,1633.472,3.1,0.0,16.1,6.1
2008-03-27,1370.822,1.1,0.0,9.4,6.7
2008-03-28,1885.424,3.5,0.3,8.9,3.3
2008-03-29,2471.15,4.1,0.0,8.3,0.6
2008-03-30,2146.392,2.8,0.0,9.4,-2.2
2008-03-31,1377.57,3.2,3.6,13.9,2.8
2008-04-01,2129.052,3.8,7.6,19.4,12.2
2008-04-02,1691.672,4.7,0.0,12.2,2.8
2008-04-03,1128.756,2.1,1.3,10.0,0.6
2008-04-04,1631.918,2.7,16.0,11.7,5.6
2008-04-05,1970.762,2.9,2.0,15.0,10.0
2008-04-06,1696.318,5.9,0.0,10.6,5.6
2008-04-07,1538.838,4.8,0.0,10.6,5.0
2008-04-08,2657.516,3.9,0.0,14.4,5.0
2008-04-09,1218.852,2.1,0.5,14.4,4.4
2008-04-10,1477.746,1.6,0.0,23.9,8.9
2008-04-11,1877.664,3.0,2.0,16.1,9.4
2008-04-12,2800.014,2.2,8.6,24.4,8.9
2008-04-13,2232.986,3.8,0.0,13.3,6.1
2008-04-14,1589.582,2.8,0.0,14.4,3.3
2008-04-15,1670.406,2.4,0.0,16.1,5.6
2008-04-16,1489.064,2.1,0.0,20.0,7.2
2008-04-17,1395.862,1.7,0.0,22.8,7.8
2008-04-18,1862.39,1.4,0.0,28.9,10.6
2008-04-19,2253.71,3.2,0.0,23.3,11.1
2008-04-20,1791.418,4.4,0.0,17.8,9.4
2008-04-21,1164.156,5.1,0.0,17.2,8.3
2008-04-22,1627.676,2.7,0.0,22.2,8.9
2008-04-23,1357.328,2.0,0.0,25.6,11.7
2008-04-24,1043.772,2.5,0.0,26.1,17.2
